Sequence,Function,Time
0,Proof,1.027271
1,Proof,1.605637
2,Proof,1.479525
3,Proof,0.977371
4,Proof,0.874021
5,Proof,0.893554
6,Proof,0.857558
7,Proof,1.114228
8,Proof,1.073844
9,Proof,1.034421
10,Proof,1.095451
11,Proof,0.971935
12,Proof,0.948918
13,Proof,1.318342
14,Proof,0.817171
15,Proof,0.925036
16,Proof,0.894336
17,Proof,1.444341
18,Proof,0.961117
19,Proof,1.155462
20,Proof,1.508721
21,Proof,1.059008
22,Proof,0.821896
23,Proof,1.093987
24,Proof,1.280834
25,Proof,0.977367
26,Proof,1.079977
27,Proof,1.452093
28,Proof,1.111696
29,Proof,1.068604
30,Proof,1.266662
31,Proof,1.251729
32,Proof,1.097434
33,Proof,1.042214
34,Proof,0.862498
35,Proof,1.029223
36,Proof,0.980906
37,Proof,0.958170
38,Proof,1.065940
39,Proof,1.099702
40,Proof,1.040106
41,Proof,0.979622
42,Proof,1.278513
43,Proof,0.857411
44,Proof,0.938425
45,Proof,0.905191
46,Proof,0.974406
47,Proof,0.969822
48,Proof,1.093085
49,Proof,1.004246
50,Proof,0.973799
51,Proof,0.990524
52,Proof,0.977070
53,Proof,1.220865
54,Proof,1.727037
55,Proof,1.374196
56,Proof,0.993342
57,Proof,1.004453
58,Proof,1.526375
59,Proof,1.090936
60,Proof,0.909740
61,Proof,1.188160
62,Proof,1.173718
63,Proof,0.938114
64,Proof,1.241800
65,Proof,1.184013
66,Proof,0.954212
67,Proof,1.220243
68,Proof,0.998133
69,Proof,0.937322
70,Proof,1.158203
71,Proof,1.020455
72,Proof,1.311796
73,Proof,1.430243
74,Proof,0.951496
75,Proof,1.343365
76,Proof,1.007725
77,Proof,1.048266
78,Proof,1.080572
79,Proof,1.093041
80,Proof,0.858520
81,Proof,0.865752
82,Proof,1.080672
83,Proof,1.470659
84,Proof,1.313818
85,Proof,1.353284
86,Proof,0.922264
87,Proof,1.074629
88,Proof,1.090187
89,Proof,1.133254
90,Proof,0.941422
91,Proof,1.095611
92,Proof,1.195564
93,Proof,1.273607
94,Proof,0.812312
95,Proof,0.831700
96,Proof,0.882876
97,Proof,0.918348
98,Proof,1.055502
99,Proof,1.063576
0,VerifyProof,2.562529
1,VerifyProof,2.358292
2,VerifyProof,2.225157
3,VerifyProof,2.234567
4,VerifyProof,2.415497
5,VerifyProof,2.530668
6,VerifyProof,2.370172
7,VerifyProof,2.574682
8,VerifyProof,2.582761
9,VerifyProof,2.278040
10,VerifyProof,2.839007
11,VerifyProof,2.171244
12,VerifyProof,2.614734
13,VerifyProof,2.184570
14,VerifyProof,2.348292
15,VerifyProof,2.548765
16,VerifyProof,2.483758
17,VerifyProof,2.623368
18,VerifyProof,2.111349
19,VerifyProof,2.220999
20,VerifyProof,2.072331
21,VerifyProof,2.341917
22,VerifyProof,2.915567
23,VerifyProof,2.420127
24,VerifyProof,2.482631
25,VerifyProof,2.639311
26,VerifyProof,2.520439
27,VerifyProof,2.395809
28,VerifyProof,2.526629
29,VerifyProof,2.413619
30,VerifyProof,2.891927
31,VerifyProof,2.629977
32,VerifyProof,2.414687
33,VerifyProof,2.693726
34,VerifyProof,2.486900
35,VerifyProof,2.564214
36,VerifyProof,2.598270
37,VerifyProof,3.438067
38,VerifyProof,2.675054
39,VerifyProof,2.568763
40,VerifyProof,2.533637
41,VerifyProof,2.224370
42,VerifyProof,2.545984
43,VerifyProof,2.627110
44,VerifyProof,3.006007
45,VerifyProof,2.157268
46,VerifyProof,2.339661
47,VerifyProof,2.190645
48,VerifyProof,2.703527
49,VerifyProof,2.315386
50,VerifyProof,2.686037
51,VerifyProof,2.595992
52,VerifyProof,2.844900
53,VerifyProof,2.173032
54,VerifyProof,2.248654
55,VerifyProof,2.556746
56,VerifyProof,2.335599
57,VerifyProof,2.561376
58,VerifyProof,2.400840
59,VerifyProof,2.192064
60,VerifyProof,2.492445
61,VerifyProof,2.219713
62,VerifyProof,2.278232
63,VerifyProof,2.168608
64,VerifyProof,2.559814
65,VerifyProof,2.114723
66,VerifyProof,2.506805
67,VerifyProof,2.094804
68,VerifyProof,2.378543
69,VerifyProof,2.809078
70,VerifyProof,2.271512
71,VerifyProof,2.438498
72,VerifyProof,2.159599
73,VerifyProof,2.730610
74,VerifyProof,2.243844
75,VerifyProof,2.473670
76,VerifyProof,2.788781
77,VerifyProof,2.456769
78,VerifyProof,2.490678
79,VerifyProof,2.207621
80,VerifyProof,2.345120
81,VerifyProof,2.661093
82,VerifyProof,2.223981
83,VerifyProof,2.885060
84,VerifyProof,2.335545
85,VerifyProof,2.377433
86,VerifyProof,2.263960
87,VerifyProof,2.317914
88,VerifyProof,2.505426
89,VerifyProof,2.188677
90,VerifyProof,3.228381
91,VerifyProof,2.304145
92,VerifyProof,2.352169
93,VerifyProof,2.275086
94,VerifyProof,2.454350
95,VerifyProof,2.261841
96,VerifyProof,2.588907
97,VerifyProof,2.160788
98,VerifyProof,2.472321
99,VerifyProof,2.254711
