FunctionType, TotalTime, SecurityParam, Iteration
genECert,289.198109,160,0
genECert,239.44515,160,1
genECert,243.041745,160,2
genECert,235.095556,160,3
genECert,254.454788,160,4
genECert,227.264227,160,5
genECert,243.70675,160,6
genECert,203.912173,160,7
genECert,211.461539,160,8
genECert,217.055244,160,9
genECert,235.135807,160,10
genECert,211.145217,160,11
genECert,201.91736,160,12
genECert,207.826089,160,13
genECert,209.899608,160,14
genECert,208.363446,160,15
genECert,201.621015,160,16
genECert,205.843262,160,17
genECert,208.248085,160,18
genECert,210.588383,160,19
genECert,192.39985,160,20
genECert,211.98731,160,21
genECert,206.793126,160,22
genECert,214.857474,160,23
genECert,212.33759,160,24
genECert,200.082057,160,25
genECert,236.708026,160,26
genECert,223.165632,160,27
genECert,209.046329,160,28
genECert,189.612186,160,29
genECert,204.821185,160,30
genECert,210.493197,160,31
genECert,194.855012,160,32
genECert,192.422223,160,33
genECert,203.503163,160,34
genECert,213.408209,160,35
genECert,232.85174,160,36
genECert,218.461561,160,37
genECert,203.323677,160,38
genECert,210.144514,160,39
genECert,199.438827,160,40
genECert,219.016797,160,41
genECert,208.141811,160,42
genECert,199.831756,160,43
genECert,200.990769,160,44
genECert,211.963338,160,45
genECert,195.880285,160,46
genECert,216.544057,160,47
genECert,205.958125,160,48
genECert,202.489076,160,49
genECert,216.007498,160,50
genECert,198.32506,160,51
genECert,208.383023,160,52
genECert,198.580653,160,53
genECert,209.368344,160,54
genECert,192.263613,160,55
genECert,204.655384,160,56
genECert,182.521472,160,57
genECert,207.893508,160,58
genECert,212.386332,160,59
genECert,211.041741,160,60
genECert,214.438776,160,61
genECert,185.54805,160,62
genECert,197.665849,160,63
genECert,206.024645,160,64
genECert,195.820756,160,65
genECert,202.757419,160,66
genECert,214.416823,160,67
genECert,204.598867,160,68
genECert,195.956604,160,69
genECert,221.70111,160,70
genECert,194.98167,160,71
genECert,218.412943,160,72
genECert,216.730055,160,73
genECert,202.092165,160,74
genECert,209.162645,160,75
genECert,217.885365,160,76
genECert,1192.228998,160,77
genECert,214.121465,160,78
genECert,209.41789,160,79
genECert,216.437896,160,80
genECert,208.778654,160,81
genECert,204.020843,160,82
genECert,207.35216,160,83
genECert,207.949945,160,84
genECert,225.421054,160,85
genECert,210.380738,160,86
genECert,212.70416,160,87
genECert,216.633461,160,88
genECert,225.831563,160,89
genECert,235.29275,160,90
genECert,222.584845,160,91
genECert,209.533351,160,92
genECert,209.907104,160,93
genECert,200.273324,160,94
genECert,219.179117,160,95
genECert,208.595073,160,96
genECert,193.036877,160,97
genECert,236.955062,160,98
genECert,206.307709,160,99
genECert,293.904914,320,0
genECert,292.017203,320,1
genECert,295.146371,320,2
genECert,285.835476,320,3
genECert,269.715802,320,4
genECert,276.375259,320,5
genECert,284.602346,320,6
genECert,285.031434,320,7
genECert,291.774491,320,8
genECert,292.971164,320,9
genECert,303.208554,320,10
genECert,300.107353,320,11
genECert,289.736423,320,12
genECert,299.272848,320,13
genECert,284.360609,320,14
genECert,303.459902,320,15
genECert,319.870526,320,16
genECert,316.917848,320,17
genECert,316.333345,320,18
genECert,287.895468,320,19
genECert,295.688573,320,20
genECert,326.716959,320,21
genECert,304.566781,320,22
genECert,312.621772,320,23
genECert,296.088295,320,24
genECert,307.997888,320,25
genECert,308.027553,320,26
genECert,293.070939,320,27
genECert,314.694582,320,28
genECert,295.57514,320,29
genECert,292.5969,320,30
genECert,300.313575,320,31
genECert,324.280822,320,32
genECert,313.830615,320,33
genECert,300.062175,320,34
genECert,283.704231,320,35
genECert,282.55121,320,36
genECert,292.080417,320,37
genECert,298.479068,320,38
genECert,287.005584,320,39
genECert,309.123742,320,40
genECert,293.625068,320,41
genECert,296.109778,320,42
genECert,333.385362,320,43
genECert,298.582919,320,44
genECert,294.769483,320,45
genECert,281.813291,320,46
genECert,304.208885,320,47
genECert,291.404611,320,48
genECert,298.377763,320,49
genECert,291.820412,320,50
genECert,296.017789,320,51
genECert,294.254499,320,52
genECert,334.403044,320,53
genECert,304.942842,320,54
genECert,313.962175,320,55
genECert,328.470831,320,56
genECert,302.089967,320,57
genECert,277.487079,320,58
genECert,301.037925,320,59
genECert,278.381809,320,60
genECert,303.586079,320,61
genECert,301.747876,320,62
genECert,286.965049,320,63
genECert,288.464556,320,64
genECert,304.229211,320,65
genECert,288.241523,320,66
genECert,295.855521,320,67
genECert,296.989665,320,68
genECert,321.575074,320,69
genECert,285.293647,320,70
genECert,282.975718,320,71
genECert,284.225624,320,72
genECert,280.438851,320,73
genECert,280.061801,320,74
genECert,290.499823,320,75
genECert,283.926281,320,76
genECert,296.848833,320,77
genECert,301.558802,320,78
genECert,292.437507,320,79
genECert,287.020383,320,80
genECert,336.165144,320,81
genECert,293.798209,320,82
genECert,302.684687,320,83
genECert,289.756142,320,84
genECert,282.513199,320,85
genECert,316.422466,320,86
genECert,297.514866,320,87
genECert,285.598211,320,88
genECert,286.329038,320,89
genECert,301.223634,320,90
genECert,299.192561,320,91
genECert,295.233693,320,92
genECert,305.88646,320,93
genECert,309.973574,320,94
genECert,301.467841,320,95
genECert,303.272084,320,96
genECert,288.340533,320,97
genECert,275.389714,320,98
genECert,330.688113,320,99
genECert,374.770159,480,0
genECert,369.078646,480,1
genECert,364.003497,480,2
genECert,372.107035,480,3
genECert,387.994891,480,4
genECert,375.596175,480,5
genECert,378.411205,480,6
genECert,362.889609,480,7
genECert,384.001237,480,8
genECert,379.785064,480,9
genECert,370.358304,480,10
genECert,384.260328,480,11
genECert,379.729131,480,12
genECert,361.980394,480,13
genECert,354.324622,480,14
genECert,365.498499,480,15
genECert,372.443918,480,16
genECert,383.175222,480,17
genECert,378.444462,480,18
genECert,380.936691,480,19
genECert,373.321171,480,20
genECert,377.242396,480,21
genECert,389.169175,480,22
genECert,376.196244,480,23
genECert,368.329123,480,24
genECert,382.585325,480,25
genECert,376.854958,480,26
genECert,363.879929,480,27
genECert,366.734625,480,28
genECert,366.824917,480,29
genECert,363.755077,480,30
genECert,364.370144,480,31
genECert,370.702094,480,32
genECert,355.558151,480,33
genECert,360.696324,480,34
genECert,363.922977,480,35
genECert,372.907864,480,36
genECert,382.75732,480,37
genECert,378.542646,480,38
genECert,398.098828,480,39
genECert,373.761946,480,40
genECert,376.091868,480,41
genECert,381.425209,480,42
genECert,380.989828,480,43
genECert,395.039475,480,44
genECert,366.987523,480,45
genECert,354.909125,480,46
genECert,380.136346,480,47
genECert,367.255104,480,48
genECert,383.932819,480,49
genECert,367.407123,480,50
genECert,365.272968,480,51
genECert,365.079798,480,52
genECert,364.54134,480,53
genECert,367.488027,480,54
genECert,367.498814,480,55
genECert,360.422551,480,56
genECert,379.130944,480,57
genECert,362.875426,480,58
genECert,369.755622,480,59
genECert,365.700258,480,60
genECert,379.541055,480,61
genECert,355.976952,480,62
genECert,369.342016,480,63
genECert,372.190919,480,64
genECert,377.186662,480,65
genECert,367.550352,480,66
genECert,374.288018,480,67
genECert,381.209566,480,68
genECert,379.621159,480,69
genECert,375.883217,480,70
genECert,359.866015,480,71
genECert,354.134249,480,72
genECert,366.279867,480,73
genECert,384.038692,480,74
genECert,362.697039,480,75
genECert,370.968776,480,76
genECert,369.348509,480,77
genECert,377.069702,480,78
genECert,365.508287,480,79
genECert,372.931536,480,80
genECert,365.264977,480,81
genECert,372.663756,480,82
genECert,694.954472,480,83
genECert,559.245585,480,84
genECert,808.879334,480,85
genECert,371.446806,480,86
genECert,369.923622,480,87
genECert,359.017526,480,88
genECert,391.123046,480,89
genECert,378.638531,480,90
genECert,371.053276,480,91
genECert,373.748362,480,92
genECert,371.75434,480,93
genECert,368.518597,480,94
genECert,365.218533,480,95
genECert,373.532719,480,96
genECert,373.685038,480,97
genECert,374.792817,480,98
genECert,367.435889,480,99
genECert,473.644402,640,0
genECert,481.017713,640,1
genECert,489.621157,640,2
genECert,496.965503,640,3
genECert,462.373638,640,4
genECert,466.108984,640,5
genECert,471.880605,640,6
genECert,471.948524,640,7
genECert,460.468109,640,8
genECert,495.238162,640,9
genECert,475.255282,640,10
genECert,474.683664,640,11
genECert,476.463242,640,12
genECert,474.470917,640,13
genECert,452.100284,640,14
genECert,469.062564,640,15
genECert,475.237204,640,16
genECert,469.629388,640,17
genECert,488.258382,640,18
genECert,461.21352,640,19
genECert,490.812837,640,20
genECert,464.6704,640,21
genECert,484.709912,640,22
genECert,492.824139,640,23
genECert,442.893758,640,24
genECert,484.860533,640,25
genECert,472.759457,640,26
genECert,481.229161,640,27
genECert,484.432143,640,28
genECert,467.82364,640,29
genECert,461.967321,640,30
genECert,486.194742,640,31
genECert,483.655369,640,32
genECert,472.229489,640,33
genECert,488.094278,640,34
genECert,472.771642,640,35
genECert,474.317699,640,36
genECert,475.797636,640,37
genECert,483.44482,640,38
genECert,489.654118,640,39
genECert,474.274651,640,40
genECert,481.340228,640,41
genECert,493.83094,640,42
genECert,474.715026,640,43
genECert,473.170167,640,44
genECert,488.059019,640,45
genECert,475.853769,640,46
genECert,475.267668,640,47
genECert,460.624522,640,48
genECert,490.000606,640,49
genECert,487.272557,640,50
genECert,466.58222,640,51
genECert,475.674482,640,52
genECert,485.833873,640,53
genECert,455.775003,640,54
genECert,481.156747,640,55
genECert,480.247631,640,56
genECert,475.696256,640,57
genECert,476.474529,640,58
genECert,466.49043,640,59
genECert,468.613799,640,60
genECert,486.944149,640,61
genECert,480.523103,640,62
genECert,461.21302,640,63
genECert,461.814404,640,64
genECert,474.519459,640,65
genECert,476.811627,640,66
genECert,461.175067,640,67
genECert,457.105518,640,68
genECert,470.670347,640,69
genECert,488.593782,640,70
genECert,441.099897,640,71
genECert,470.410857,640,72
genECert,461.036331,640,73
genECert,467.079128,640,74
genECert,478.129956,640,75
genECert,472.538421,640,76
genECert,486.989594,640,77
genECert,471.072968,640,78
genECert,486.830884,640,79
genECert,470.71869,640,80
genECert,483.65477,640,81
genECert,489.87126,640,82
genECert,473.178757,640,83
genECert,471.079859,640,84
genECert,487.012167,640,85
genECert,488.692664,640,86
genECert,473.181055,640,87
genECert,484.907277,640,88
genECert,512.228809,640,89
genECert,484.135097,640,90
genECert,513.593482,640,91
genECert,510.435646,640,92
genECert,480.199389,640,93
genECert,515.053941,640,94
genECert,462.221319,640,95
genECert,477.1691,640,96
genECert,474.272654,640,97
genECert,492.87398,640,98
genECert,485.167866,640,99
genOCert,3110.1061059999997,160,0
genOCert,3070.528231,160,1
genOCert,3090.689224,160,2
genOCert,3089.166244,160,3
genOCert,3086.516912,160,4
genOCert,3083.136954,160,5
genOCert,3081.658821,160,6
genOCert,3060.8118489999997,160,7
genOCert,3104.009182,160,8
genOCert,3095.1962869999998,160,9
genOCert,3117.158816,160,10
genOCert,3103.617714,160,11
genOCert,3102.256143,160,12
genOCert,3089.313625,160,13
genOCert,3075.320063,160,14
genOCert,3090.232526,160,15
genOCert,3081.570387,160,16
genOCert,3086.294836,160,17
genOCert,3184.627312,160,18
genOCert,3092.9595640000002,160,19
genOCert,3085.3986080000004,160,20
genOCert,3060.530155,160,21
genOCert,3087.944362,160,22
genOCert,3070.083727,160,23
genOCert,3040.251112,160,24
genOCert,3088.528164,160,25
genOCert,3082.902493,160,26
genOCert,3089.119856,160,27
genOCert,3103.904372,160,28
genOCert,3098.806918,160,29
genOCert,3066.9694719999998,160,30
genOCert,3083.310726,160,31
genOCert,3086.604087,160,32
genOCert,3106.5083809999996,160,33
genOCert,3104.985901,160,34
genOCert,3082.7920459999996,160,35
genOCert,3114.8736750000003,160,36
genOCert,3110.935885,160,37
genOCert,3082.812023,160,38
genOCert,3081.197155,160,39
genOCert,3067.070052,160,40
genOCert,3094.8473280000003,160,41
genOCert,3205.4125839999997,160,42
genOCert,3118.565159,160,43
